,id,humidity,temperature,created_at,updated_at
290,229164,20.0,18.2,2024-02-15 00:57:22.523399,2024-02-15 00:57:22.523399
291,229165,20.0,18.2,2024-02-15 00:57:32.553605,2024-02-15 00:57:32.553605
292,229166,20.0,18.2,2024-02-15 00:57:42.591254,2024-02-15 00:57:42.591254
293,229167,20.0,18.2,2024-02-15 00:57:52.628346,2024-02-15 00:57:52.628346
294,229168,20.0,18.2,2024-02-15 00:58:02.642588,2024-02-15 00:58:02.642588
295,229169,20.0,18.3,2024-02-15 00:58:12.673694,2024-02-15 00:58:12.673694
296,229170,20.0,18.2,2024-02-15 00:58:22.707077,2024-02-15 00:58:22.707077
297,229171,20.0,18.2,2024-02-15 00:58:32.732853,2024-02-15 00:58:32.732853
298,229172,20.0,18.2,2024-02-15 00:58:42.768004,2024-02-15 00:58:42.768004
299,229173,20.0,18.2,2024-02-15 00:58:52.803642,2024-02-15 00:58:52.803642
300,229174,20.0,18.2,2024-02-15 00:59:02.823106,2024-02-15 00:59:02.823106
301,229175,20.0,18.2,2024-02-15 00:59:12.853182,2024-02-15 00:59:12.853182
302,229176,20.0,18.2,2024-02-15 00:59:22.888843,2024-02-15 00:59:22.888843
303,229177,20.0,18.2,2024-02-15 00:59:32.919206,2024-02-15 00:59:32.919206
304,229178,20.0,18.2,2024-02-15 00:59:42.955610,2024-02-15 00:59:42.955610
305,229179,20.0,18.2,2024-02-15 00:59:52.990909,2024-02-15 00:59:52.990909
306,229180,20.0,18.2,2024-02-15 01:00:03.002518,2024-02-15 01:00:03.002518
307,229181,20.0,18.2,2024-02-15 01:00:13.031218,2024-02-15 01:00:13.031218
